TRANSCRIPT_ID	GENE_NAME
ENST00000617307.4	SAMD11
ENST00000618181.4	SAMD11
ENST00000618323.4	SAMD11
ENST00000618779.4	SAMD11
ENST00000620200.4	SAMD11
ENST00000622503.4	SAMD11
ENST00000327044.7	NOC2L
ENST00000338591.8	KLHL17
ENST00000622660.1	KLHL17
ENST00000379410.8	PLEKHN1
ENST00000379407.7	PLEKHN1
ENST00000379409.6	PLEKHN1
ENST00000341290.6	PERM1
ENST00000433179.3	PERM1
ENST00000606034.1	AL645608.7
ENST00000428771.6	HES4
ENST00000304952.10	HES4
ENST00000484667.2	HES4
ENST00000624697.4	ISG15
ENST00000423619.2	AL645608.3
ENST00000458555.1	AL645608.1
ENST00000649529.1	ISG15
ENST00000379370.7	AGRN
ENST00000620552.4	AGRN
ENST00000418300.1	AL645608.5
ENST00000394517.7	AL390719.1
ENST00000442292.2	AL645608.8
ENST00000412397.2	AL390719.1
ENST00000453464.3	RNF223
ENST00000379339.5	C1orf159
ENST00000421241.6	C1orf159
ENST00000379320.5	C1orf159
ENST00000379319.5	C1orf159
ENST00000648183.1	AL390719.3
ENST00000416774.1	LINC01342
ENST00000384997.3	MIR200B
ENST00000384875.3	MIR200A
ENST00000362106.1	MIR429
ENST00000606993.1	AL390719.2
ENST00000379317.1	TTLL10-AS1
ENST00000379290.5	TTLL10
ENST00000379289.5	TTLL10
ENST00000379288.3	TTLL10
ENST00000328596.10	TNFRSF18
ENST00000379268.7	TNFRSF18
ENST00000486728.5	TNFRSF18
ENST00000379265.5	TNFRSF18
ENST00000379236.4	TNFRSF4
ENST00000360001.11	SDF4
ENST00000660930.1	SDF4
ENST00000263741.12	SDF4
ENST00000655486.1	SDF4
ENST00000379198.5	B3GALT6
ENST00000330388.2	C1QTNF12
ENST00000565563.1	AL162741.1
ENST00000347370.6	UBE2J2
ENST00000349431.10	UBE2J2
ENST00000400929.6	UBE2J2
ENST00000360466.6	UBE2J2
ENST00000400930.8	UBE2J2
ENST00000434139.1	LINC01786
ENST00000453732.1	LINC01786
ENST00000379116.10	SCNN1D
ENST00000338555.6	SCNN1D
ENST00000400928.7	SCNN1D
ENST00000325425.12	SCNN1D
ENST00000354700.10	ACAP3
ENST00000353662.4	ACAP3
ENST00000613751.1	MIR6726
ENST00000379031.10	PUSL1
ENST00000540437.5	INTS11
ENST00000545578.5	INTS11
ENST00000618806.4	INTS11
ENST00000620829.4	INTS11
ENST00000435064.5	INTS11
ENST00000411962.5	INTS11
ENST00000421495.6	INTS11
ENST00000419704.5	INTS11
ENST00000450926.6	INTS11
ENST00000620702.1	MIR6727
ENST00000444968.1	AL139287.1
ENST00000429572.5	INTS11
ENST00000343938.9	CPTP
ENST00000339381.6	TAS1R3
ENST00000378891.9	DVL1
ENST00000378888.10	DVL1
ENST00000610709.2	DVL1
ENST00000616525.1	MIR6808
ENST00000342753.8	MXRA8
ENST00000309212.10	MXRA8
ENST00000445648.5	MXRA8
ENST00000477278.3	MXRA8
ENST00000338370.7	AURKAIP1
ENST00000338338.9	AURKAIP1
ENST00000321751.9	AURKAIP1
ENST00000378853.3	AURKAIP1
ENST00000435351.2	NDUFB4P8
ENST00000400809.8	CCNL2
ENST00000408952.8	CCNL2
ENST00000408918.8	CCNL2
ENST00000447725.2	MRPL20-AS1
ENST00000344843.12	MRPL20
ENST00000482352.1	MRPL20
ENST00000582431.2	RN7SL657P
ENST00000607307.1	AL391244.2
ENST00000520296.5	ANKRD65
ENST00000427211.3	ANKRD65
ENST00000537107.5	ANKRD65
ENST00000454272.2	ANKRD65
ENST00000442470.1	ANKRD65
ENST00000428932.1	AL391244.1
ENST00000378821.3	TMEM88B
ENST00000430109.1	LINC01770
ENST00000417917.1	LINC01770
ENST00000338660.5	VWA1
ENST00000476993.2	VWA1
ENST00000378785.7	ATAD3C
ENST00000673477.1	ATAD3B
ENST00000308647.8	ATAD3B
ENST00000641974.1	AL645728.2
ENST00000641679.1	AL645728.2
ENST00000378756.8	ATAD3A
ENST00000378755.9	ATAD3A
ENST00000536055.6	ATAD3A
ENST00000378733.9	TMEM240
ENST00000425828.1	TMEM240
ENST00000624426.1	TMEM240
ENST00000291386.4	SSU72
ENST00000359060.5	SSU72
ENST00000647566.1	AL645728.1
ENST00000621860.1	AL691432.3
ENST00000422725.4	FNDC10
ENST00000658591.1	AL691432.4
ENST00000607222.1	AL691432.2
ENST00000520777.5	MIB2
ENST00000355826.9	MIB2
ENST00000518681.5	MIB2
ENST00000505820.6	MIB2
ENST00000378712.5	MIB2
ENST00000504599.5	MIB2
ENST00000378708.5	MIB2
ENST00000356026.10	MMP23B
ENST00000378675.7	MMP23B
ENST00000341832.10	CDK11B
ENST00000407249.7	CDK11B
ENST00000340677.9	CDK11B
ENST00000626918.2	CDK11B
ENST00000629289.2	CDK11B
ENST00000629312.2	CDK11B
ENST00000607013.1	FO704657.1
ENST00000614300.4	SLC35E2B
ENST00000617444.5	SLC35E2B
ENST00000611123.1	SLC35E2B
ENST00000596308.1	AL691432.1
ENST00000597891.1	AL691432.1
ENST00000234610.5	MMP23A
ENST00000404249.8	CDK11A
ENST00000356200.7	CDK11A
ENST00000598846.1	AL031282.2
ENST00000378638.6	CDK11A
ENST00000357760.6	CDK11A
ENST00000358779.9	CDK11A
ENST00000378633.5	CDK11A
ENST00000577672.1	AL031282.1
ENST00000355439.7	SLC35E2A
ENST00000643905.1	SLC35E2A
ENST00000418950.2	AL031282.1
ENST00000341426.9	NADK
ENST00000341991.7	NADK
ENST00000378625.5	NADK
ENST00000610897.4	GNB1
ENST00000615252.4	GNB1
ENST00000378609.9	GNB1
ENST00000412228.1	AL109917.1
ENST00000378604.3	CALML6
ENST00000378602.3	TMEM52
ENST00000310991.8	TMEM52
ENST00000493964.5	CFAP74
ENST00000443930.1	AL391845.2
ENST00000659674.1	AL391845.2
ENST00000378585.7	GABRD
ENST00000640067.1	GABRD
ENST00000638771.1	GABRD
ENST00000640949.1	GABRD
ENST00000449154.1	AL391845.1
ENST00000400921.6	PRKCZ
ENST00000606533.1	AL590822.2
ENST00000333854.2	PRKCZ-AS1
ENST00000444529.1	PRKCZ-AS1
ENST00000400919.7	FAAP20
ENST00000378546.9	FAAP20
ENST00000442483.2	AL590822.1
ENST00000378536.5	SKI
ENST00000659232.1	AL590822.3
ENST00000661319.1	AL590822.3
ENST00000378531.8	MORN1
ENST00000607720.1	AL589739.1
ENST00000602865.1	AL513477.1
ENST00000417061.2	AL513477.1
ENST00000378529.7	MORN1
ENST00000607858.1	AL513477.2
ENST00000378513.7	RER1
ENST00000378518.5	RER1
ENST00000605895.6	RER1
ENST00000378512.5	RER1
ENST00000488353.2	RER1
ENST00000288774.7	PEX10
ENST00000447513.6	PEX10
ENST00000507596.5	PEX10
ENST00000449969.5	PLCH2
ENST00000378486.8	PLCH2
ENST00000419816.6	PLCH2
ENST00000424657.1	AL139246.1
ENST00000442305.1	AL139246.4
ENST00000378466.9	PANK4
ENST00000435556.8	PANK4
ENST00000651094.1	PANK4
ENST00000378453.4	HES5
ENST00000644246.1	AL139246.5
ENST00000449660.5	TNFRSF14-AS1
ENST00000416860.2	TNFRSF14-AS1
ENST00000432521.2	TNFRSF14-AS1
ENST00000452793.1	TNFRSF14-AS1
ENST00000409119.5	TNFRSF14
ENST00000355716.4	TNFRSF14
ENST00000456687.3	AL139246.2
ENST00000424215.1	AL139246.3
ENST00000378425.9	PRXL2B
ENST00000444521.6	PRXL2B
ENST00000419916.7	PRXL2B
ENST00000378424.9	PRXL2B
ENST00000537325.6	PRXL2B
ENST00000378427.6	PRXL2B
ENST00000378412.8	MMEL1
ENST00000502556.5	MMEL1
ENST00000427302.1	AL831784.1
ENST00000401095.8	TTC34
ENST00000637179.1	TTC34
ENST00000648684.1	AC242022.2
ENST00000638002.1	AC242022.1
ENST00000457440.1	AL592464.2
ENST00000664694.1	AL592464.3
ENST00000429389.1	AL592464.1
ENST00000641229.1	AL589702.1
ENST00000378404.4	ACTRT2
ENST00000420957.1	PRDM16-DT
ENST00000511072.5	PRDM16
ENST00000378391.6	PRDM16
ENST00000270722.10	PRDM16
ENST00000514189.5	PRDM16
ENST00000635819.1	MIR4251
ENST00000440516.1	AL008733.1
ENST00000624175.1	AL512383.1
ENST00000607061.1	AL590438.1
ENST00000669140.1	AL354743.2
ENST00000665088.1	AL354743.1
ENST00000378378.9	ARHGEF16
ENST00000378373.5	ARHGEF16
ENST00000378371.6	ARHGEF16
ENST00000606489.1	AL512413.1
ENST00000356575.9	MEGF6
ENST00000294599.8	MEGF6
ENST00000385042.1	MIR551A
ENST00000435049.1	AL513320.1
ENST00000378344.7	TPRG1L
ENST00000344579.5	TPRG1L
ENST00000378322.7	WRAP73
ENST00000270708.12	WRAP73
ENST00000378295.9	TP73
ENST00000604074.5	TP73
ENST00000354437.8	TP73
ENST00000346387.8	TP73
ENST00000357733.7	TP73
ENST00000443034.1	AL136528.1
ENST00000603362.5	TP73
ENST00000604479.5	TP73
ENST00000378280.5	TP73
ENST00000378285.5	TP73
ENST00000378288.8	TP73
ENST00000378290.4	TP73
ENST00000416554.1	AL136528.2
ENST00000648526.1	TP73-AS1
ENST00000611447.1	AL136528.3
ENST00000423764.6	TP73-AS1
ENST00000637775.1	TP73-AS1
ENST00000294600.7	CCDC27
ENST00000561886.2	SMIM1
ENST00000444870.7	SMIM1
ENST00000378251.3	LRRC47
ENST00000581512.2	RN7SL574P
ENST00000607459.1	AL365330.1
ENST00000378230.8	CEP104
ENST00000378223.3	CEP104
ENST00000625756.2	DFFB
ENST00000338895.7	DFFB
ENST00000378209.7	DFFB
ENST00000341385.4	DFFB
ENST00000361605.4	C1orf174
ENST00000442673.1	LINC01134
ENST00000439488.1	LINC01134
ENST00000412674.1	LINC01346
ENST00000635247.1	LINC01345
ENST00000664502.1	LINC01346
ENST00000642026.2	LINC02780
ENST00000641562.1	LINC02780
ENST00000641078.1	LINC02780
ENST00000642139.1	AL805961.1
ENST00000449232.1	EEF1DP6
ENST00000423197.2	LINC01777
ENST00000641472.1	AL355602.1
ENST00000438791.2	Z98747.1
ENST00000667354.1	LINC01646
ENST00000659083.1	LINC01646
ENST00000661628.1	LINC01646
ENST00000420522.1	LINC01646
ENST00000378191.5	AJAP1
ENST00000378190.7	AJAP1
ENST00000658045.1	Z98886.1
ENST00000641254.1	BX005132.1
ENST00000641403.1	LINC02781
ENST00000443270.1	LINC02782
ENST00000641871.1	AL139823.1
ENST00000641583.1	Z98259.2
ENST00000641860.1	Z98259.3
ENST00000649109.1	Z98259.3
ENST00000564261.1	Z98259.1
ENST00000637697.1	Z97988.2
ENST00000637702.1	AL365255.1
ENST00000579887.1	Z97988.1
ENST00000413887.1	AL365255.1
ENST00000582517.1	MIR4689
ENST00000378156.9	NPHP4
ENST00000622020.4	NPHP4
ENST00000378097.6	KCNAB2
ENST00000666163.1	KCNAB2
ENST00000671676.1	KCNAB2
ENST00000653262.1	KCNAB2
ENST00000341524.6	KCNAB2
ENST00000462676.3	KCNAB2
ENST00000428161.6	KCNAB2
ENST00000352527.6	KCNAB2
ENST00000663169.1	KCNAB2
ENST00000656198.1	KCNAB2
ENST00000602612.5	KCNAB2
ENST00000666299.1	KCNAB2
ENST00000652845.1	KCNAB2
ENST00000669250.1	KCNAB2
ENST00000164247.5	KCNAB2
ENST00000668559.1	KCNAB2
ENST00000378092.6	KCNAB2
ENST00000472700.7	KCNAB2
ENST00000378083.7	KCNAB2
ENST00000458166.6	KCNAB2
ENST00000662363.1	KCNAB2
ENST00000262450.8	CHD5
ENST00000484532.6	AL031847.2
ENST00000234875.9	RPL22
ENST00000497965.5	RPL22
ENST00000455744.1	AL031847.1
ENST00000377939.5	RNF207
ENST00000343813.10	ICMT
ENST00000650463.1	LINC00337
ENST00000441724.1	LINC00337
ENST00000377898.4	HES3
ENST00000377893.3	GPR153
ENST00000608083.5	ACOT7
ENST00000377842.7	ACOT7
ENST00000377845.7	ACOT7
ENST00000377855.6	ACOT7
ENST00000545482.5	ACOT7
ENST00000361521.8	ACOT7
ENST00000607670.1	AL031848.2
ENST00000377837.5	HES2
ENST00000377836.8	HES2
ENST00000377834.8	HES2
ENST00000487437.5	HES2
ENST00000489730.1	HES2
ENST00000645284.1	ESPN
ENST00000636330.1	ESPN
ENST00000585139.1	MIR4252
ENST00000419034.1	AL031848.1
ENST00000416731.5	ESPN
ENST00000461727.6	ESPN
ENST00000377782.7	TNFRSF25
ENST00000356876.7	TNFRSF25
ENST00000351959.9	TNFRSF25
ENST00000348333.7	TNFRSF25
ENST00000351748.7	TNFRSF25
ENST00000535355.5	PLEKHG5
ENST00000400913.5	PLEKHG5
ENST00000340850.9	PLEKHG5
ENST00000537245.5	PLEKHG5
ENST00000377748.5	PLEKHG5
ENST00000673471.1	PLEKHG5
ENST00000377725.5	PLEKHG5
ENST00000377728.7	PLEKHG5
ENST00000377732.5	PLEKHG5
ENST00000400915.7	PLEKHG5
ENST00000377740.4	PLEKHG5
ENST00000377705.6	NOL9
ENST00000517213.1	RNU6-731P
ENST00000456162.2	AL591866.1
ENST00000333172.11	TAS1R1
ENST00000351136.7	TAS1R1
ENST00000377674.9	ZBTB48
ENST00000377658.8	KLHL21
ENST00000377663.3	KLHL21
ENST00000467612.5	KLHL21
ENST00000610898.1	KLHL21
ENST00000463043.1	KLHL21
ENST00000377648.5	PHF13
ENST00000054650.8	THAP3
ENST00000307896.10	THAP3
ENST00000377627.7	THAP3
ENST00000377577.10	DNAJC11
ENST00000294401.11	DNAJC11
ENST00000432429.5	LINC01672
ENST00000421469.3	LINC01672
ENST00000641757.1	AL591163.1
ENST00000442889.1	CAMTA1-DT
ENST00000303635.12	CAMTA1
ENST00000473578.5	CAMTA1
ENST00000557126.5	CAMTA1
ENST00000467404.6	CAMTA1
ENST00000433407.1	AL590128.1
ENST00000456701.1	AL512330.1
ENST00000384328.1	RNU1-8P
ENST00000427317.1	CAMTA1-IT1
ENST00000618051.1	Z97987.1
ENST00000411708.1	Z97987.1
ENST00000440032.1	AL365194.1
ENST00000602640.1	AL359881.3
ENST00000602973.1	AL359881.2
ENST00000602916.1	AL359881.1
ENST00000476864.1	CAMTA1
ENST00000054666.11	VAMP3
ENST00000470357.1	VAMP3
ENST00000602406.1	Z98884.2
ENST00000377541.5	PER3
ENST00000613533.4	PER3
ENST00000614998.4	PER3
ENST00000377532.7	PER3
ENST00000361923.2	PER3
ENST00000451646.1	Z98884.1
ENST00000377516.6	UTS2
ENST00000361696.9	UTS2
ENST00000054668.5	UTS2
ENST00000615230.4	TNFRSF9
ENST00000377507.7	TNFRSF9
ENST00000603760.1	AL009183.1
ENST00000493678.5	PARK7
ENST00000377493.9	PARK7
ENST00000338639.10	PARK7
ENST00000377491.5	PARK7
ENST00000377488.5	PARK7
ENST00000363474.1	Y_RNA
ENST00000641354.1	AL034417.4
ENST00000641100.1	AL034417.3
ENST00000642135.1	AL034417.4
ENST00000474874.5	ERRFI1
ENST00000377482.10	ERRFI1
ENST00000467067.1	ERRFI1
ENST00000469499.5	ERRFI1
ENST00000445300.1	AL034417.2
ENST00000399343.2	AL034417.1
ENST00000453364.1	AL358876.1
ENST00000670361.1	LINC01714
ENST00000364105.1	RNU1-7P
ENST00000452982.1	LINC01714
ENST00000424689.1	AL358876.2
ENST00000516168.1	RNU6-991P
ENST00000471889.5	SLC45A1
ENST00000289877.8	SLC45A1
ENST00000516445.1	Y_RNA
ENST00000337907.7	RERE
ENST00000400908.7	RERE
ENST00000377464.5	RERE
ENST00000400907.6	RERE
ENST00000476556.5	RERE
ENST00000653698.1	RERE-AS1
ENST00000659924.1	RERE
ENST00000408156.1	AL096855.1
ENST00000605785.1	AL096855.2
ENST00000437586.1	RPL7P11
ENST00000428803.2	RPL7P7
ENST00000410579.2	Y_RNA
ENST00000445254.1	AL357552.1
ENST00000433876.2	AL357552.2
ENST00000436229.2	RPL23AP19
ENST00000234590.10	ENO1
ENST00000647408.1	ENO1
ENST00000618792.1	MIR6728
ENST00000442636.1	ENO1-AS1
ENST00000364855.1	RNU6-304P
ENST00000425872.1	HMGN2P17
ENST00000424862.2	AL139415.1
ENST00000431968.2	AL139415.2
ENST00000377443.7	CA6
ENST00000480186.7	CA6
ENST00000377436.6	CA6
ENST00000377442.3	CA6
ENST00000583026.2	RN7SL451P
ENST00000400906.1	SLC2A7
ENST00000377424.9	SLC2A5
ENST00000377414.7	SLC2A5
ENST00000516595.1	AL158048.1
ENST00000377411.5	GPR157
ENST00000635687.1	MIR34AHG
ENST00000385130.1	MIR34A
ENST00000635405.2	MIR34AHG
ENST00000635271.1	LNCTAM34A
ENST00000664915.1	LNCTAM34A
ENST00000657715.1	LNCTAM34A
ENST00000377403.6	H6PD
ENST00000602477.1	H6PD
ENST00000328089.11	SPSB1
ENST00000357898.3	SPSB1
ENST00000377399.2	SPSB1
ENST00000641006.1	BX323043.1
ENST00000641325.1	LINC02606
ENST00000517147.1	RNA5SP40
ENST00000441033.1	AL928921.1
ENST00000302692.7	SLC25A33
ENST00000435277.1	AL954705.1
ENST00000340381.11	TMEM201
ENST00000340305.9	TMEM201
ENST00000377346.9	PIK3CD
ENST00000536656.5	PIK3CD
ENST00000628140.2	PIK3CD
ENST00000377320.3	PIK3CD-AS1
ENST00000426570.3	AL691449.1
ENST00000415330.2	PIK3CD-AS2
ENST00000543390.2	PIK3CD
ENST00000361110.6	PIK3CD
ENST00000377298.8	CLSTN1
ENST00000361311.4	CLSTN1
ENST00000603781.1	MZT1P1
ENST00000639753.1	AL357140.3
ENST00000377263.6	CTNNBIP1
ENST00000454104.1	AL357140.1
ENST00000400904.7	CTNNBIP1
ENST00000377258.5	CTNNBIP1
ENST00000377256.1	CTNNBIP1
ENST00000648956.1	AL357140.4
ENST00000377223.6	LZIC
ENST00000400903.6	LZIC
ENST00000377213.1	LZIC
ENST00000445884.1	AL357140.2
ENST00000403197.5	NMNAT1
ENST00000377205.6	NMNAT1
ENST00000365545.1	RN7SKP269
ENST00000636827.2	TMEM274P
ENST00000578045.1	MIR5697
ENST00000413148.1	AL603962.1
ENST00000294435.8	RBP7
ENST00000253251.12	UBE4B
ENST00000672724.1	UBE4B
ENST00000343090.11	UBE4B
ENST00000377153.5	UBE4B
ENST00000456484.1	AL590639.1
ENST00000416729.2	PGAM1P11
ENST00000364876.1	RNU6-828P
ENST00000377093.8	KIF1B
ENST00000263934.10	KIF1B
ENST00000377086.5	KIF1B
ENST00000577266.1	AL358013.1
ENST00000377083.5	KIF1B
ENST00000377081.5	KIF1B
ENST00000620295.2	KIF1B
ENST00000622724.3	KIF1B
ENST00000362692.1	RNU6-37P
ENST00000584329.2	RN7SL731P
ENST00000641619.1	AL139424.3
ENST00000641117.1	AL139424.3
ENST00000641335.1	AL139424.2
ENST00000270776.13	PGD
ENST00000607572.1	AL139424.1
ENST00000400900.6	CENPS-CORT
ENST00000470413.6	CENPS-CORT
ENST00000309048.8	CENPS
ENST00000602787.6	CENPS-CORT
ENST00000602296.6	CENPS-CORT
ENST00000462462.1	CENPS
ENST00000465026.1	CENPS-CORT
ENST00000377049.3	CORT
ENST00000377038.8	DFFA
ENST00000424487.1	AL354956.1
ENST00000377036.2	DFFA
ENST00000356607.9	PEX14
ENST00000663738.1	AL139423.2
ENST00000461850.3	RN7SL614P
ENST00000377022.8	CASZ1
ENST00000606802.1	AL139423.1
ENST00000344008.5	CASZ1
ENST00000450782.2	HSPE1P24
ENST00000377004.8	C1orf127
ENST00000400899.2	CFL1P6
ENST00000240185.7	TARDBP
ENST00000639083.1	TARDBP
ENST00000629725.2	TARDBP
ENST00000614757.4	AL109811.3
ENST00000315091.7	TARDBP
ENST00000638264.1	TARDBP
ENST00000649624.1	TARDBP
ENST00000616545.4	TARDBP
ENST00000621790.4	TARDBP
ENST00000400897.8	MASP2
ENST00000612387.1	AL109811.2
ENST00000400898.3	MASP2
ENST00000376957.7	SRM
ENST00000304457.11	EXOSC10
ENST00000376936.9	EXOSC10
ENST00000452378.1	AL109811.1
ENST00000447600.1	EXOSC10-AS1
ENST00000376838.5	MTOR
ENST00000361445.9	MTOR
ENST00000445982.5	MTOR-AS1
ENST00000517277.1	RNU6-537P
ENST00000376819.4	ANGPTL7
ENST00000384720.1	RNU6-291P
ENST00000448289.1	RPL39P6
ENST00000376810.5	UBIAD1
ENST00000376804.2	UBIAD1
ENST00000433562.1	UBE2V2P3
ENST00000641979.1	AL031291.1
ENST00000435243.2	MTCYBP45
ENST00000294484.7	DISP3
ENST00000649975.1	AL590989.1
ENST00000304391.6	DISP3
ENST00000453135.2	LINC01647
ENST00000642131.1	AL031731.1
ENST00000354287.5	FBXO2
ENST00000251546.8	FBXO44
ENST00000376770.5	FBXO44
ENST00000251547.10	FBXO44
ENST00000376768.5	FBXO44
ENST00000376760.5	FBXO44
ENST00000376762.8	FBXO44
ENST00000376753.9	FBXO6
ENST00000376692.9	MAD2L2
ENST00000235310.7	MAD2L2
ENST00000376672.5	MAD2L2
ENST00000376669.9	MAD2L2
ENST00000376667.7	MAD2L2
ENST00000294485.6	DRAXIN
ENST00000376637.7	AGTRAP
ENST00000400895.6	AGTRAP
ENST00000314340.10	AGTRAP
ENST00000376629.8	AGTRAP
ENST00000376627.6	AGTRAP
ENST00000452018.6	AGTRAP
ENST00000510878.1	AGTRAP
ENST00000433342.5	C1orf167
ENST00000376620.3	AL953897.1
ENST00000376592.6	MTHFR
ENST00000376583.7	MTHFR
ENST00000376585.6	MTHFR
ENST00000376590.8	MTHFR
ENST00000423400.7	MTHFR
ENST00000641407.1	MTHFR
ENST00000641820.1	MTHFR
ENST00000312413.10	CLCN6
ENST00000346436.11	CLCN6
ENST00000376496.4	CLCN6
ENST00000622391.1	AL021155.3
ENST00000618496.1	AL021155.4
ENST00000376480.7	NPPA
ENST00000610706.1	NPPA
ENST00000376476.1	NPPA
ENST00000617059.1	AL021155.2
ENST00000376468.4	NPPB
ENST00000438808.1	AL021155.1
ENST00000661075.1	AL021155.5
ENST00000649268.2	AL021155.5
ENST00000362477.1	RNU5E-1
ENST00000660618.1	AL021155.5
ENST00000364931.1	RNU5E-4P
ENST00000376572.8	KIAA2013
ENST00000616327.1	KIAA2013
ENST00000376576.3	KIAA2013
ENST00000196061.5	PLOD1
ENST00000660216.1	AL096840.2
ENST00000444836.5	MFN2
ENST00000235329.9	MFN2
ENST00000603287.1	AL096840.1
ENST00000235332.6	MIIP
ENST00000365591.1	Y_RNA
ENST00000618194.1	MIR6729
ENST00000496974.3	RN7SL649P
ENST00000263932.7	TNFRSF8
ENST00000417814.3	TNFRSF8
ENST00000364265.1	RNU6-777P
ENST00000439324.2	RPL23AP89
ENST00000647616.1	AL357835.1
ENST00000413146.6	TNFRSF8
ENST00000622420.1	MIR7846
ENST00000376259.7	TNFRSF1B
ENST00000536782.2	TNFRSF1B
ENST00000584158.1	MIR4632
ENST00000453852.2	RPL10P17
ENST00000517160.1	SNORA70
ENST00000620676.6	VPS13D
ENST00000613099.4	VPS13D
ENST00000543766.2	VPS13D
ENST00000459326.1	SNORA59A
ENST00000416696.1	LINC02766
ENST00000616661.5	DHRS3
ENST00000408413.1	RNU6ATAC18P
ENST00000622213.1	MIR6730
ENST00000606790.1	AC254633.1
ENST00000376221.1	AADACL4
ENST00000436879.2	AC244670.1
ENST00000359318.8	AADACL3
ENST00000614859.5	C1orf158
ENST00000376210.3	C1orf158
ENST00000357726.4	PRAMEF12
ENST00000332296.7	PRAMEF1
ENST00000438401.1	LINC01784
ENST00000619922.1	PRAMEF11
ENST00000438176.2	PRAMEF30P
ENST00000317869.6	HNRNPCL1
ENST00000240189.2	PRAMEF2
ENST00000235349.6	PRAMEF4
ENST00000235347.4	PRAMEF10
ENST00000616979.4	PRAMEF7
ENST00000330881.6	PRAMEF7
ENST00000384703.1	RNU6-1072P
ENST00000418187.1	PRAMEF29P
ENST00000415464.6	PRAMEF6
ENST00000376189.5	PRAMEF6
ENST00000610289.2	PRAMEF28P
ENST00000436041.5	PRAMEF27
ENST00000617807.2	HNRNPCL3
ENST00000614839.4	PRAMEF25
ENST00000619661.2	PRAMEF25
ENST00000611860.1	PRAMEF34P
ENST00000458709.1	PRAMEF35P
ENST00000621994.3	HNRNPCL2
ENST00000448180.1	PRAMEF36P
ENST00000437631.1	AC245056.1
ENST00000624207.1	PRAMEF26
ENST00000323770.7	HNRNPCL4
ENST00000415919.2	PRAMEF9
ENST00000625019.3	PRAMEF13
ENST00000638454.1	PRAMEF13
ENST00000624297.2	PRAMEF18
ENST00000504262.1	PRAMEF31P
ENST00000622421.2	PRAMEF5
ENST00000431596.1	PRAMEF32P
ENST00000384780.1	RNU6-771P
